id,type,method,cantonese,prediction,reference,label
12,code_mixing,google_translate,佢chok 到全歐洲最靚數據,他chok到全欧洲最漂亮的数据,他刷出了全欧洲最好看的数据,partial
12,code_mixing,direct_replacement,佢chok 到全歐洲最靚數據,他ch还可以 到全欧洲最靚数据,他刷出了全欧洲最好看的数据,wrong
12,code_mixing,gpt_variation_aware_standardization,佢chok 到全歐洲最靚數據,他获得了全欧洲最漂亮的数据。,他刷出了全欧洲最好看的数据,acceptable
14,code_mixing,google_translate,得你一個日日開post吹捧,只有你一个天天开post吹捧,只有你一个人天天发帖吹捧,partial
14,code_mixing,direct_replacement,得你一個日日開post吹捧,只有你一个天天开帖子吹捧,只有你一个人天天发帖吹捧,acceptable
14,code_mixing,gpt_variation_aware_standardization,得你一個日日開post吹捧,只有你一个人每天发帖吹捧。,只有你一个人天天发帖吹捧,acceptable
15,code_mixing,google_translate,佢都係一人carry住曼聯,他都是一人carry着曼联,他也是一个人撑着曼联,wrong
15,code_mixing,direct_replacement,佢都係一人carry住曼聯,他也是一人撑着住曼联,他也是一个人撑着曼联,partial
15,code_mixing,gpt_variation_aware_standardization,佢都係一人carry住曼聯,他也是一个人支持曼联。,他也是一个人撑着曼联,wrong
16,code_mixing,google_translate,亦都冇咁易畀人笑你chok口音,也没那么容易被笑你chok口音,也没那么容易被人笑你的刻意口音,wrong
16,code_mixing,direct_replacement,亦都冇咁易畀人笑你chok口音,亦都没那么容易被人笑你ch还可以口音,也没那么容易被人笑你的刻意口音,wrong
16,code_mixing,gpt_variation_aware_standardization,亦都冇咁易畀人笑你chok口音,也没有那么容易被人笑你口音。,也没那么容易被人笑你的刻意口音,acceptable
17,particles_and_context,google_translate,個個男人都會陪架啦,每个男人都会陪吧,每个男人都会陪的啦,acceptable
17,particles_and_context,direct_replacement,個個男人都會陪架啦,個個男人都會陪的啦,每个男人都会陪的啦,acceptable
17,particles_and_context,gpt_variation_aware_standardization,個個男人都會陪架啦,每个男人都会陪伴的。,每个男人都会陪的啦,partial
20,informal_orthography,google_translate,佢懶姐，佢肯開演唱會一定大把人睇,她懒姐，她肯开演唱会一定大把人看,他只是懒而已，他愿意开演唱会的话一定很多人看,wrong
20,informal_orthography,direct_replacement,佢懶姐，佢肯開演唱會一定大把人睇,他懶姐，他肯开演唱会一定很多人看,他只是懒而已，他愿意开演唱会的话一定很多人看,wrong
20,informal_orthography,gpt_variation_aware_standardization,佢懶姐，佢肯開演唱會一定大把人睇,他很懒，如果他愿意举办演唱会一定会有很多人观看。,他只是懒而已，他愿意开演唱会的话一定很多人看,partial
21,colloquial_or_slang,google_translate,迫啲居民等唔切就賣樓,迫使居民等不及就卖房,逼一些居民等不及就卖房,acceptable
21,colloquial_or_slang,direct_replacement,迫啲居民等唔切就賣樓,迫些居民等来不及就賣樓,逼一些居民等不及就卖房,partial
21,colloquial_or_slang,gpt_variation_aware_standardization,迫啲居民等唔切就賣樓,迫使一些居民等不及就卖楼。,逼一些居民等不及就卖房,acceptable
24,colloquial_or_slang,google_translate,話時話我去日本咁多次一次松屋都未食過,话说我去日本那么多次一次松屋都没吃过,说起来，我去日本那么多次，一次松屋都没有吃过,acceptable
24,colloquial_or_slang,direct_replacement,話時話我去日本咁多次一次松屋都未食過,说起来我去日本这么多次一次松屋都未吃過,说起来，我去日本那么多次，一次松屋都没有吃过,acceptable
24,colloquial_or_slang,gpt_variation_aware_standardization,話時話我去日本咁多次一次松屋都未食過,说起来我去日本这么多次，还是第一次没吃过松屋。,说起来，我去日本那么多次，一次松屋都没有吃过,wrong
26,informal_orthography,google_translate,其實有d人會有地址係銀包,其實有些人會有地址是銀包,其实有些人会把地址放在钱包里,wrong
26,informal_orthography,direct_replacement,其實有d人會有地址係銀包,其實有些人會有地址是钱包,其实有些人会把地址放在钱包里,wrong
26,informal_orthography,gpt_variation_aware_standardization,其實有d人會有地址係銀包,其实有些人会在钱包里有地址。,其实有些人会把地址放在钱包里,acceptable
27,particles_and_context,google_translate,冇人話過拍拖實係拍劇咁甜架喎,沒有人說過拍拖肯定是拍劇那麼甜的,没有人说过谈恋爱一定会像拍电视剧那样甜蜜啊,partial
27,particles_and_context,direct_replacement,冇人話過拍拖實係拍劇咁甜架喎,没有人話過谈恋爱一定是拍劇这么甜啊,没有人说过谈恋爱一定会像拍电视剧那样甜蜜啊,partial
27,particles_and_context,gpt_variation_aware_standardization,冇人話過拍拖實係拍劇咁甜架喎,没有人说过谈恋爱其实就像拍戏那么甜呢。,没有人说过谈恋爱一定会像拍电视剧那样甜蜜啊,wrong
28,colloquial_or_slang,google_translate,做到咁辛苦都叫有糧出,做到這麼辛苦都叫有糧出,做得这么辛苦，好歹也能拿工资,wrong
28,colloquial_or_slang,direct_replacement,做到咁辛苦都叫有糧出,做到这么辛苦都叫有糧出,做得这么辛苦，好歹也能拿工资,wrong
28,colloquial_or_slang,gpt_variation_aware_standardization,做到咁辛苦都叫有糧出,做到这么辛苦也算有收入。,做得这么辛苦，好歹也能拿工资,acceptable
32,code_mixing,google_translate,當一齊左之後通常就會話你chur得濟,當一起了之後通常就會話你chur得濟。,在一起之后，通常就会说你逼得太紧,wrong
32,code_mixing,direct_replacement,當一齊左之後通常就會話你chur得濟,當一齊了之後通常就會話你chur得濟,在一起之后，通常就会说你逼得太紧,wrong
32,code_mixing,gpt_variation_aware_standardization,當一齊左之後通常就會話你chur得濟,当在一起之后通常就会说你出得多。,在一起之后，通常就会说你逼得太紧,partial
33,particles_and_context,google_translate,又話香港復甦好好景嘅,又说香港复苏很好景的,不是说香港复苏得很好、很景气吗？,wrong
33,particles_and_context,direct_replacement,又話香港復甦好好景嘅,又話香港复苏好好景的,不是说香港复苏得很好、很景气吗？,wrong
33,particles_and_context,gpt_variation_aware_standardization,又話香港復甦好好景嘅,又说香港复苏的景象很好。,不是说香港复苏得很好、很景气吗？,partial
34,colloquial_or_slang,google_translate,佢一直痴屋企住公屋,他一直痴家住公屋。,他一直依赖家里，住在公屋,wrong
34,colloquial_or_slang,direct_replacement,佢一直痴屋企住公屋,他一直痴家里住公屋,他一直依赖家里，住在公屋,wrong
34,colloquial_or_slang,gpt_variation_aware_standardization,佢一直痴屋企住公屋,他一直住在公屋里。,他一直依赖家里，住在公屋,wrong
37,informal_orthography,google_translate,人地根本唔會介意你個樣,人地根本不會介意你的樣子,别人根本不会介意你的长相,partial
37,informal_orthography,direct_replacement,人地根本唔會介意你個樣,别人根本不会介意你個樣,别人根本不会介意你的长相,partial
37,informal_orthography,gpt_variation_aware_standardization,人地根本唔會介意你個樣,人们根本不会介意你的样子。,别人根本不会介意你的长相,acceptable
39,particles_and_context,google_translate,腸粉都要非黑即白，兩隻都好食唔得既,腸粉都要非黑即白，兩隻都好吃不得的,肠粉也要非黑即白吗？两种都好吃不可以吗？,wrong
39,particles_and_context,direct_replacement,腸粉都要非黑即白，兩隻都好食唔得既,腸粉都要非黑即白，兩隻都好吃不可以的,肠粉也要非黑即白吗？两种都好吃不可以吗？,wrong
39,particles_and_context,gpt_variation_aware_standardization,腸粉都要非黑即白，兩隻都好食唔得既,肠粉一定要非黑即白，两种都好吃是不行的。,肠粉也要非黑即白吗？两种都好吃不可以吗？,wrong
42,informal_orthography,google_translate,今集啲字幕正常返少左個歡樂,今集字幕正常返少了個歡樂,这一集的字幕变正常了，反而少了一点乐趣,wrong
42,informal_orthography,direct_replacement,今集啲字幕正常返少左個歡樂,今集些字幕正常返少了個乐趣,这一集的字幕变正常了，反而少了一点乐趣,wrong
42,informal_orthography,gpt_variation_aware_standardization,今集啲字幕正常返少左個歡樂,今集的字幕正常少了些欢乐。,这一集的字幕变正常了，反而少了一点乐趣,partial
43,colloquial_or_slang,google_translate,佢成日同你攞家用,他老是跟你拿家用,他总是向你要生活费,partial
43,colloquial_or_slang,direct_replacement,佢成日同你攞家用,他成日同你拿生活费,他总是向你要生活费,partial
43,colloquial_or_slang,gpt_variation_aware_standardization,佢成日同你攞家用,他总是向你要家用。,他总是向你要生活费,partial
51,code_mixing,google_translate,講真，幾好睇幾Fun,说真的，挺好看挺Fun,说真的，很好看很有趣,partial
51,code_mixing,direct_replacement,講真，幾好睇幾Fun,说真的，幾好看幾有趣,说真的，很好看很有趣,partial
51,code_mixing,gpt_variation_aware_standardization,講真，幾好睇幾Fun,说实话，挺好看的，也很有趣。,说真的，很好看很有趣,acceptable
54,particles_and_context,google_translate,既然沒有表態就唔好幻想人地對你有意思啦,既然没表态就别幻想人家对你有意思吧,既然没有表态就不要幻想别人对你有意思啦,acceptable
54,particles_and_context,direct_replacement,既然沒有表態就唔好幻想人地對你有意思啦,的然沒有表態就不好幻想别人對你有意思啦,既然没有表态就不要幻想别人对你有意思啦,partial
54,particles_and_context,gpt_variation_aware_standardization,既然沒有表態就唔好幻想人地對你有意思啦,既然没有表态，就不要幻想别人对你有意思了。,既然没有表态就不要幻想别人对你有意思啦,acceptable
55,code_mixing,google_translate,Sor9ry，個人魅力我噴飯,Sor9ry，个人魅力我喷饭,不好意思，所谓个人魅力真是让我笑喷了,wrong
55,code_mixing,direct_replacement,Sor9ry，個人魅力我噴飯,不好意思，個人魅力我笑喷,不好意思，所谓个人魅力真是让我笑喷了,wrong
55,code_mixing,gpt_variation_aware_standardization,Sor9ry，個人魅力我噴飯,抱歉，个人魅力让我喷饭。,不好意思，所谓个人魅力真是让我笑喷了,wrong
56,particles_and_context,google_translate,我D朋友都好正常唔會咁架,"我的朋友都很正常,不會這樣的",我的朋友都好正常不会这样的啦,acceptable
56,particles_and_context,direct_replacement,我D朋友都好正常唔會咁架,我的朋友都好正常不会这么架,我的朋友都好正常不会这样的啦,wrong
56,particles_and_context,gpt_variation_aware_standardization,我D朋友都好正常唔會咁架,我的朋友们都很正常，不会这样。,我的朋友都好正常不会这样的啦,partial
57,colloquial_or_slang,google_translate,唱歌果個真係好掂,唱歌的真好,唱歌那位真的好厉害,wrong
57,colloquial_or_slang,direct_replacement,唱歌果個真係好掂,唱歌那个真是很厉害,唱歌那位真的好厉害,partial
57,colloquial_or_slang,gpt_variation_aware_standardization,唱歌果個真係好掂,唱歌那个真的是很好。,唱歌那位真的好厉害,partial
59,informal_orthography,google_translate,希望黎緊可以多d講吓如何教導中學生理財,希望嚟緊可以多講下點樣教導中學生財,希望未来可以多多讲下怎么教中学生理财,wrong
59,informal_orthography,direct_replacement,希望黎緊可以多d講吓如何教導中學生理財,希望未来可以多点讲下如何教導中學生理財,希望未来可以多多讲下怎么教中学生理财,acceptable
59,informal_orthography,gpt_variation_aware_standardization,希望黎緊可以多d講吓如何教導中學生理財,希望接下来可以多一些讨论如何教导中学生理财。,希望未来可以多多讲下怎么教中学生理财,acceptable
60,particles_and_context,google_translate,輕輕鬆鬆傾下計都幾好喎,轻轻松松聊聊天也挺好的喔,轻轻松松地聊聊天也很好啊,acceptable
60,particles_and_context,direct_replacement,輕輕鬆鬆傾下計都幾好喎,轻轻松松聊聊天都幾好啊,轻轻松松地聊聊天也很好啊,partial
60,particles_and_context,gpt_variation_aware_standardization,輕輕鬆鬆傾下計都幾好喎,轻轻松松聊聊天也挺好的。,轻轻松松地聊聊天也很好啊,partial
62,particles_and_context,google_translate,媽媽既反應已經算係好俾面㗎啦,媽媽的反應已經算是好畀面啦,妈妈的反应已经算很给面子的啦,wrong
62,particles_and_context,direct_replacement,媽媽既反應已經算係好俾面㗎啦,妈妈的反應已經算是好给面子的啦,妈妈的反应已经算很给面子的啦,acceptable
62,particles_and_context,gpt_variation_aware_standardization,媽媽既反應已經算係好俾面㗎啦,妈妈的反应已经算是很给面子了。,妈妈的反应已经算很给面子的啦,partial
63,colloquial_or_slang,google_translate,愈睇愈肚餓,愈看愈饿,越看越饿,partial
63,colloquial_or_slang,direct_replacement,愈睇愈肚餓,愈看愈饿,越看越饿,partial
63,colloquial_or_slang,gpt_variation_aware_standardization,愈睇愈肚餓,越看越肚子饿。,越看越饿,partial
64,informal_orthography,google_translate,但晚上不可以睇e條影片，好肚餓,但晚上不能看e条影片，好饿,但是晚上不可以看这条影片，好饿,wrong
64,informal_orthography,direct_replacement,但晚上不可以睇e條影片，好肚餓,但晚上不可以看这条影片，好饿,但是晚上不可以看这条影片，好饿,acceptable
64,informal_orthography,gpt_variation_aware_standardization,但晚上不可以睇e條影片，好肚餓,但晚上不可以看这条影片，太饿了。,但是晚上不可以看这条影片，好饿,acceptable
65,informal_orthography,google_translate,至少你哋令佢哋成個體驗開心咗,至少你们让他们整个体验开心了,至少你们让他们的整个体验变开心了啊,acceptable
65,informal_orthography,direct_replacement,至少你哋令佢哋成個體驗開心咗,至少你们令他们整个体验开心了,至少你们让他们的整个体验变开心了啊,partial
65,informal_orthography,gpt_variation_aware_standardization,至少你哋令佢哋成個體驗開心咗,至少你们让他们整个体验开心了。,至少你们让他们的整个体验变开心了啊,acceptable
66,particles_and_context,google_translate,簡直抵到爛啦，車費都唔止,简直抵到烂啦，车费都不止,简直超划算，车费都不止这个价了,wrong
66,particles_and_context,direct_replacement,簡直抵到爛啦，車費都唔止,简直超划算啦，车费都不止,简直超划算，车费都不止这个价了,acceptable
66,particles_and_context,gpt_variation_aware_standardization,簡直抵到爛啦，車費都唔止,简直便宜到不可思议，车费都不止。,简直超划算，车费都不止这个价了,partial
67,informal_orthography,google_translate,"冇 la la 碌到你哋呢條片, 你哋好好笑呀","冇啦啦碌到你地呢條片,你地好好笑呀",莫名其妙刷到你们的这条影片，你们好好笑啊,wrong
67,informal_orthography,direct_replacement,"冇 la la 碌到你哋呢條片, 你哋好好笑呀","没有 莫名其妙 刷到你们这条影片, 你们好好笑呀",莫名其妙刷到你们的这条影片，你们好好笑啊,wrong
67,informal_orthography,gpt_variation_aware_standardization,"冇 la la 碌到你哋呢條片, 你哋好好笑呀",没有啦，看到你们这条视频，你们真好笑啊。,莫名其妙刷到你们的这条影片，你们好好笑啊,wrong
70,code_mixing,google_translate,估唔到佢國語ok wor,估唔到佢國語ok wor,没想到他的国语还可以喔,wrong
70,code_mixing,direct_replacement,估唔到佢國語ok wor,估不到他国语还可以 喔,没想到他的国语还可以喔,partial
70,code_mixing,gpt_variation_aware_standardization,估唔到佢國語ok wor,没想到他的普通话不错。,没想到他的国语还可以喔,partial
