id,method,prompt_file,model,temperature,prediction
17,gpt_variation_aware_standardization,prompts/variation_aware_standardization.txt,gpt-4o-mini,0.0,每个男人都会陪伴的。
18,gpt_variation_aware_standardization,prompts/variation_aware_standardization.txt,gpt-4o-mini,0.0,会想一些之前没有想过的事情。
19,gpt_variation_aware_standardization,prompts/variation_aware_standardization.txt,gpt-4o-mini,0.0,大陆经济股市已经崩溃。
20,gpt_variation_aware_standardization,prompts/variation_aware_standardization.txt,gpt-4o-mini,0.0,他很懒，如果他愿意举办演唱会一定会有很多人观看。
21,gpt_variation_aware_standardization,prompts/variation_aware_standardization.txt,gpt-4o-mini,0.0,迫使一些居民等不及就卖楼。
22,gpt_variation_aware_standardization,prompts/variation_aware_standardization.txt,gpt-4o-mini,0.0,从DAY 0开始的10天内有什么事情要做，提前做好计划。
23,gpt_variation_aware_standardization,prompts/variation_aware_standardization.txt,gpt-4o-mini,0.0,他们年初已经贴了告示说要开。
24,gpt_variation_aware_standardization,prompts/variation_aware_standardization.txt,gpt-4o-mini,0.0,说起来我去日本这么多次，还是第一次没吃过松屋。
25,gpt_variation_aware_standardization,prompts/variation_aware_standardization.txt,gpt-4o-mini,0.0,如果卖得比两份饭还贵就不会帮忙了。
26,gpt_variation_aware_standardization,prompts/variation_aware_standardization.txt,gpt-4o-mini,0.0,其实有些人会在钱包里有地址。
27,gpt_variation_aware_standardization,prompts/variation_aware_standardization.txt,gpt-4o-mini,0.0,没有人说过谈恋爱其实就像拍戏那么甜呢。
28,gpt_variation_aware_standardization,prompts/variation_aware_standardization.txt,gpt-4o-mini,0.0,做到这么辛苦也算有收入。
29,gpt_variation_aware_standardization,prompts/variation_aware_standardization.txt,gpt-4o-mini,0.0,我以前试过让他们说就算买月票也要拍。
30,gpt_variation_aware_standardization,prompts/variation_aware_standardization.txt,gpt-4o-mini,0.0,那么他还要应付那个正印。
31,gpt_variation_aware_standardization,prompts/variation_aware_standardization.txt,gpt-4o-mini,0.0,有了图片，应该都能认出来的。
32,gpt_variation_aware_standardization,prompts/variation_aware_standardization.txt,gpt-4o-mini,0.0,当在一起之后通常就会说你出得多。
33,gpt_variation_aware_standardization,prompts/variation_aware_standardization.txt,gpt-4o-mini,0.0,又说香港复苏的景象很好。
34,gpt_variation_aware_standardization,prompts/variation_aware_standardization.txt,gpt-4o-mini,0.0,他一直住在公屋里。
35,gpt_variation_aware_standardization,prompts/variation_aware_standardization.txt,gpt-4o-mini,0.0,几二十岁还在赚这么少的钱。
36,gpt_variation_aware_standardization,prompts/variation_aware_standardization.txt,gpt-4o-mini,0.0,给家里人花光了你的工资吗？
37,gpt_variation_aware_standardization,prompts/variation_aware_standardization.txt,gpt-4o-mini,0.0,人们根本不会介意你的样子。
38,gpt_variation_aware_standardization,prompts/variation_aware_standardization.txt,gpt-4o-mini,0.0,我也以为是新式的东西，原来旧时也有。
39,gpt_variation_aware_standardization,prompts/variation_aware_standardization.txt,gpt-4o-mini,0.0,肠粉一定要非黑即白，两种都好吃是不行的。
40,gpt_variation_aware_standardization,prompts/variation_aware_standardization.txt,gpt-4o-mini,0.0,现在香港麦当劳这么贵。
41,gpt_variation_aware_standardization,prompts/variation_aware_standardization.txt,gpt-4o-mini,0.0,其实出歌一点都不贵，派台宣传才贵。
42,gpt_variation_aware_standardization,prompts/variation_aware_standardization.txt,gpt-4o-mini,0.0,今集的字幕正常少了些欢乐。
43,gpt_variation_aware_standardization,prompts/variation_aware_standardization.txt,gpt-4o-mini,0.0,他总是向你要家用。
44,gpt_variation_aware_standardization,prompts/variation_aware_standardization.txt,gpt-4o-mini,0.0,想早点回家可以把老婆搬出来。
45,gpt_variation_aware_standardization,prompts/variation_aware_standardization.txt,gpt-4o-mini,0.0,下班已经很累，只想回家，但还是要应酬他们。
46,gpt_variation_aware_standardization,prompts/variation_aware_standardization.txt,gpt-4o-mini,0.0,拿完市民的钱，马上拉回市民。
47,gpt_variation_aware_standardization,prompts/variation_aware_standardization.txt,gpt-4o-mini,0.0,原来没有了半年起诉期限，现在才注意到。
48,gpt_variation_aware_standardization,prompts/variation_aware_standardization.txt,gpt-4o-mini,0.0,没有什么客人也要你来搭桌。
49,gpt_variation_aware_standardization,prompts/variation_aware_standardization.txt,gpt-4o-mini,0.0,最大的问题一定是租金，看到你生意好就涨你的租金。
50,gpt_variation_aware_standardization,prompts/variation_aware_standardization.txt,gpt-4o-mini,0.0,还要结了婚，没那么容易就能分开。
51,gpt_variation_aware_standardization,prompts/variation_aware_standardization.txt,gpt-4o-mini,0.0,说实话，挺好看的，也很有趣。
52,gpt_variation_aware_standardization,prompts/variation_aware_standardization.txt,gpt-4o-mini,0.0,公司女同事明明没有戴无名指的戒指也可以说是妈妈送的。
53,gpt_variation_aware_standardization,prompts/variation_aware_standardization.txt,gpt-4o-mini,0.0,不要说那个男孩玩弄你的感情。
54,gpt_variation_aware_standardization,prompts/variation_aware_standardization.txt,gpt-4o-mini,0.0,既然没有表态，就不要幻想别人对你有意思了。
55,gpt_variation_aware_standardization,prompts/variation_aware_standardization.txt,gpt-4o-mini,0.0,抱歉，个人魅力让我喷饭。
56,gpt_variation_aware_standardization,prompts/variation_aware_standardization.txt,gpt-4o-mini,0.0,我的朋友们都很正常，不会这样。
57,gpt_variation_aware_standardization,prompts/variation_aware_standardization.txt,gpt-4o-mini,0.0,唱歌那个真的是很好。
58,gpt_variation_aware_standardization,prompts/variation_aware_standardization.txt,gpt-4o-mini,0.0,最少都有一万，完全没有难度。
59,gpt_variation_aware_standardization,prompts/variation_aware_standardization.txt,gpt-4o-mini,0.0,希望接下来可以多一些讨论如何教导中学生理财。
60,gpt_variation_aware_standardization,prompts/variation_aware_standardization.txt,gpt-4o-mini,0.0,轻轻松松聊聊天也挺好的。
61,gpt_variation_aware_standardization,prompts/variation_aware_standardization.txt,gpt-4o-mini,0.0,人高又风趣果然是容易让人接受的。
62,gpt_variation_aware_standardization,prompts/variation_aware_standardization.txt,gpt-4o-mini,0.0,妈妈的反应已经算是很给面子了。
63,gpt_variation_aware_standardization,prompts/variation_aware_standardization.txt,gpt-4o-mini,0.0,越看越肚子饿。
64,gpt_variation_aware_standardization,prompts/variation_aware_standardization.txt,gpt-4o-mini,0.0,但晚上不可以看这条影片，太饿了。
65,gpt_variation_aware_standardization,prompts/variation_aware_standardization.txt,gpt-4o-mini,0.0,至少你们让他们整个体验开心了。
66,gpt_variation_aware_standardization,prompts/variation_aware_standardization.txt,gpt-4o-mini,0.0,简直便宜到不可思议，车费都不止。
67,gpt_variation_aware_standardization,prompts/variation_aware_standardization.txt,gpt-4o-mini,0.0,没有啦，看到你们这条视频，你们真好笑啊。
68,gpt_variation_aware_standardization,prompts/variation_aware_standardization.txt,gpt-4o-mini,0.0,最近心情不是很好。
69,gpt_variation_aware_standardization,prompts/variation_aware_standardization.txt,gpt-4o-mini,0.0,最讨厌的就是女生收兵。
70,gpt_variation_aware_standardization,prompts/variation_aware_standardization.txt,gpt-4o-mini,0.0,没想到他的普通话不错。
