id,type,method,cantonese,prediction,reference,normalized_prediction,normalized_reference,exact_match,char_f1,edit_similarity
27,particles_and_context,gpt_basic_standardization,冇人話過拍拖實係拍劇咁甜架喎,沒有人說過談戀愛真的像拍戲那麼甜蜜。,没有人说过谈恋爱一定会像拍电视剧那样甜蜜啊,没有人说过谈恋爱真的像拍戏那么甜蜜。,没有人说过谈恋爱一定会像拍电视剧那样甜蜜啊,0,0.6666666666666666,0.6666666666666666
28,colloquial_or_slang,gpt_basic_standardization,做到咁辛苦都叫有糧出,做到這麼辛苦也算是有收入。,做得这么辛苦，好歹也能拿工资,做到这么辛苦也算是有收入。,做得这么辛苦，好歹也能拿工资,0,0.4444444444444445,0.4444444444444444
29,informal_orthography,gpt_basic_standardization,我以前試過俾佢地話就算買月票都要拍,我以前试过被他们说就算买月票也要拍照。,我以前试过被他们告知，就算买了月票也要拍卡,我以前试过被他们说就算买月票也要拍照。,我以前试过被他们告知，就算买了月票也要拍卡,0,0.8,0.8
30,colloquial_or_slang,gpt_basic_standardization,咁佢仲要應付個正印,那么她还要应付那个正印。,那他还要应付正牌伴侣,那么她还要应付那个正印。,那他还要应付正牌伴侣,0,0.5454545454545454,0.5454545454545454
31,colloquial_or_slang,gpt_basic_standardization,有埋圖個樣應該都認到下嘅,有了照片，應該也能認出來的。,有照片的话，应该还是能认出样子的,有了照片，应该也能认出来的。,有照片的话，应该还是能认出样子的,0,0.6666666666666666,0.6666666666666666
32,code_mixing,gpt_basic_standardization,當一齊左之後通常就會話你chur得濟,當在一起之後，通常就會說你很厲害。,在一起之后，通常就会说你逼得太紧,当在一起之后，通常就会说你很厉害。,在一起之后，通常就会说你逼得太紧,0,0.7272727272727272,0.7272727272727273
33,particles_and_context,gpt_basic_standardization,又話香港復甦好好景嘅,又说香港复苏的景象很好。,不是说香港复苏得很好、很景气吗？,又说香港复苏的景象很好。,不是说香港复苏得很好、很景气吗？,0,0.5714285714285715,0.5
34,colloquial_or_slang,gpt_basic_standardization,佢一直痴屋企住公屋,他一直住在公屋里。,他一直依赖家里，住在公屋,他一直住在公屋里。,他一直依赖家里，住在公屋,0,0.761904761904762,0.6666666666666666
35,colloquial_or_slang,gpt_basic_standardization,幾廿歲仲係搵咁少錢,幾十歲還是賺這麼少錢。,几十岁了还是赚这么少钱,几十岁还是赚这么少钱。,几十岁了还是赚这么少钱,0,0.9090909090909091,0.9090909090909091
36,informal_orthography,gpt_basic_standardization,比屋企人食晒你份人工?,把你的工资都给家里人花了吗？,被家人花光你的工资吗？,把你的工资都给家里人花了吗？,被家人花光你的工资吗？,0,0.7200000000000001,0.48
37,informal_orthography,gpt_basic_standardization,人地根本唔會介意你個樣,人们根本不会在意你的样子。,别人根本不会介意你的长相,人们根本不会在意你的样子。,别人根本不会介意你的长相,0,0.64,0.64
38,informal_orthography,gpt_basic_standardization,我都以為係新式野，原來舊時都有,我也以为是新式的，原来旧时就有。,我也以为是新式东西，原来以前也有,我也以为是新式的，原来旧时就有。,我也以为是新式东西，原来以前也有,0,0.6875,0.6875
39,informal_orthography,gpt_basic_standardization,腸粉都要非黑即白，兩隻都好食唔得既,腸粉一定要非黑即白，兩種都好吃是不行的。,肠粉也要非黑即白吗？两种都好吃不可以吗？,肠粉一定要非黑即白，两种都好吃是不行的。,肠粉也要非黑即白吗？两种都好吃不可以吗？,0,0.65,0.65
40,informal_orthography,gpt_basic_standardization,宜家香港麥當勞咁貴,現在香港的麥當勞這麼貴。,现在香港的麦当劳这么贵,现在香港的麦当劳这么贵。,现在香港的麦当劳这么贵,0,0.9565217391304348,0.9565217391304348
41,colloquial_or_slang,gpt_basic_standardization,其實出歌一啲都唔貴，派台宣傳先貴,其實出歌並不貴，宣傳費用才昂貴。,其实出歌一点都不贵，去电台宣传才贵,其实出歌并不贵，宣传费用才昂贵。,其实出歌一点都不贵，去电台宣传才贵,0,0.6666666666666667,0.6666666666666666
42,informal_orthography,gpt_basic_standardization,今集啲字幕正常返少左個歡樂,今集的字幕正常了，少了一些欢乐。,这一集的字幕正常了，反而少了一点乐趣,今集的字幕正常了，少了一些欢乐。,这一集的字幕正常了，反而少了一点乐趣,0,0.7058823529411765,0.7058823529411765
43,colloquial_or_slang,gpt_basic_standardization,佢成日同你攞家用,他常常向你要家用。,他总是向你要生活费,他常常向你要家用。,他总是向你要生活费,0,0.4444444444444444,0.4444444444444444
44,informal_orthography,gpt_basic_standardization,想早啲返屋企可以搬老婆出黎,想早一点回家，可以把老婆搬出来。,想早点回家的时候，可以把老婆拿出来当借口,想早一点回家，可以把老婆搬出来。,想早点回家的时候，可以把老婆拿出来当借口,0,0.7222222222222223,0.7222222222222222
45,informal_orthography,gpt_basic_standardization,放工已經好攰只想返屋企但都要應籌佢地,下班已經很累，只想回家，但還是要應付他們。,下班后已经很累，只想回家，但还是要应酬他们,下班已经很累，只想回家，但还是要应付他们。,下班后已经很累，只想回家，但还是要应酬他们,0,0.9047619047619048,0.9047619047619048
46,colloquial_or_slang,gpt_basic_standardization,拎完市民錢，即刻拉返個市民,拿完市民的钱，立刻把市民拉回来。,拿完市民的钱，立刻又把那个市民抓回去,拿完市民的钱，立刻把市民拉回来。,拿完市民的钱，立刻又把那个市民抓回去,0,0.7647058823529411,0.7647058823529411
47,colloquial_or_slang,gpt_basic_standardization,原來無咗半年起訴期限，而家先留意到,原来已经过了半年起诉期限，现在才注意到。,现在才注意到原来没有了半年的起诉期限,原来已经过了半年起诉期限，现在才注意到。,现在才注意到原来没有了半年的起诉期限,0,0.7894736842105262,0.3157894736842105
48,colloquial_or_slang,gpt_basic_standardization,無咩客都要你搭枱,沒有客人也需要你來搭桌子。,没什么客人也会要求你拼桌,没有客人也需要你来搭桌子。,没什么客人也会要求你拼桌,0,0.5599999999999999,0.56
49,colloquial_or_slang,gpt_basic_standardization,最大問題一定係租金，見你生意好就加你租,最大的问题一定是租金，看到你生意好就会涨租。,最大的问题一定是租金，看到你生意好就给你增加租金,最大的问题一定是租金，看到你生意好就会涨租。,最大的问题一定是租金，看到你生意好就给你增加租金,0,0.8260869565217391,0.8260869565217391
50,colloquial_or_slang,gpt_basic_standardization,仲要結咗婚冇咁易走得甩,結了婚之後，想要分開可不是那麼容易。,而且结了婚，没那么容易脱身,结了婚之后，想要分开可不是那么容易。,而且结了婚，没那么容易脱身,0,0.5161290322580646,0.5161290322580645
