id,type,method,cantonese,prediction,reference,normalized_prediction,normalized_reference,exact_match,char_f1,edit_similarity
11,informal_orthography,google_translate,同佢同期個d 全部都老哂啦,和他同期的d全都老晒啦,和他同期的那些人全都老了,和他同期的d全都老晒啦,和他同期的那些人全都老了,0,0.6956521739130435,0.6956521739130435
12,code_mixing,google_translate,佢chok 到全歐洲最靚數據,他chok到全欧洲最漂亮的数据,他刷出了全欧洲最好看的数据,他chok到全欧洲最漂亮的数据,他刷出了全欧洲最好看的数据,0,0.5714285714285715,0.5714285714285714
13,informal_orthography,google_translate,佢唔好彩既係佢遇到最頂級既射手,他不幸的是他遇到最顶级的射手,他不走运的是，他遇到了最顶级的前锋,他不幸的是他遇到最顶级的射手,他不走运的是，他遇到了最顶级的前锋,0,0.7096774193548386,0.7096774193548387
14,code_mixing,google_translate,得你一個日日開post吹捧,只有你一个天天开post吹捧,只有你一个人天天发帖吹捧,只有你一个天天开post吹捧,只有你一个人天天发帖吹捧,0,0.6923076923076924,0.6923076923076923
15,code_mixing,google_translate,佢都係一人carry住曼聯,他都是一人carry着曼联,他也是一个人撑着曼联,他都是一人carry着曼联,他也是一个人撑着曼联,0,0.608695652173913,0.6086956521739131
16,code_mixing,google_translate,亦都冇咁易畀人笑你chok口音,也没那么容易被笑你chok口音,也没那么容易被人笑你的刻意口音,也没那么容易被笑你chok口音,也没那么容易被人笑你的刻意口音,0,0.7333333333333333,0.7333333333333333
17,particles_and_context,google_translate,個個男人都會陪架啦,每个男人都会陪吧,每个男人都会陪的啦,每个男人都会陪吧,每个男人都会陪的啦,0,0.823529411764706,0.8235294117647058
18,colloquial_or_slang,google_translate,會諗一啲之前冇點諗過嘅嘢,会想一些之前没怎么想过的事,会想一些之前没怎么想过的事情,会想一些之前没怎么想过的事,会想一些之前没怎么想过的事情,0,0.962962962962963,0.9629629629629629
19,colloquial_or_slang,google_translate,大陸經濟股市收晒皮,大陸經濟股市收皮,大陆经济和股市都彻底不行了,大陆经济股市收皮,大陆经济和股市都彻底不行了,0,0.5714285714285714,0.5714285714285714
20,informal_orthography,google_translate,佢懶姐，佢肯開演唱會一定大把人睇,她懒姐，她肯开演唱会一定大把人看,他只是懒而已，他愿意开演唱会的话一定很多人看,她懒姐，她肯开演唱会一定大把人看,他只是懒而已，他愿意开演唱会的话一定很多人看,0,0.5263157894736842,0.5263157894736842
21,colloquial_or_slang,google_translate,迫啲居民等唔切就賣樓,迫使居民等不及就卖房,逼一些居民等不及就卖房,迫使居民等不及就卖房,逼一些居民等不及就卖房,0,0.761904761904762,0.7619047619047619
22,code_mixing,google_translate,由DAY 0 開始既10日內有乜野要做一早有晒PLAN,從DAY 0開始的10天內有什麼事情要做 一早有晒PLAN,从第0天开始的10天内要做什么，早就已经有完整计划了,从DAY0开始的10天内有什么事情要做一早有晒PLAN,从第0天开始的10天内要做什么，早就已经有完整计划了,0,0.5660377358490566,0.49056603773584906
23,informal_orthography,google_translate,佢年頭已經貼左告示話開,他年頭已經貼了告示話開,他年初已经贴了告示说会开张,他年头已经贴了告示话开,他年初已经贴了告示说会开张,0,0.7500000000000001,0.75
24,colloquial_or_slang,google_translate,話時話我去日本咁多次一次松屋都未食過,话说我去日本那么多次一次松屋都没吃过,说起来，我去日本那么多次，一次松屋都没有吃过,话说我去日本那么多次一次松屋都没吃过,说起来，我去日本那么多次，一次松屋都没有吃过,0,0.85,0.85
25,colloquial_or_slang,google_translate,如果賣得貴過兩餸飯都唔會幫趁,如果賣得貴過兩餸飯都不會幫趁,如果卖得比两餸饭还贵，我也不会光顾,如果卖得贵过两𩠌饭都不会帮趁,如果卖得比两𩠌饭还贵，我也不会光顾,0,0.6451612903225806,0.5806451612903226
26,informal_orthography,google_translate,其實有d人會有地址係銀包,其實有些人會有地址是銀包,其实有些人会把地址放在钱包里,其实有些人会有地址是银包,其实有些人会把地址放在钱包里,0,0.6923076923076924,0.6923076923076923
27,particles_and_context,google_translate,冇人話過拍拖實係拍劇咁甜架喎,沒有人說過拍拖肯定是拍劇那麼甜的,没有人说过谈恋爱一定会像拍电视剧那样甜蜜啊,没有人说过拍拖肯定是拍剧那么甜的,没有人说过谈恋爱一定会像拍电视剧那样甜蜜啊,0,0.5405405405405405,0.4864864864864865
28,colloquial_or_slang,google_translate,做到咁辛苦都叫有糧出,做到這麼辛苦都叫有糧出,做得这么辛苦，好歹也能拿工资,做到这么辛苦都叫有粮出,做得这么辛苦，好歹也能拿工资,0,0.4,0.4
29,informal_orthography,google_translate,我以前試過俾佢地話就算買月票都要拍,我以前試過畀佢地話就算買月票都要拍,我以前试过被他们告知，就算买了月票也要刷卡,我以前试过畀佢地话就算买月票都要拍,我以前试过被他们告知，就算买了月票也要刷卡,0,0.5789473684210527,0.5789473684210527
30,colloquial_or_slang,google_translate,咁佢仲要應付個正印,那他还要应付个正印,那他还要应付正牌伴侣,那他还要应付个正印,那他还要应付正牌伴侣,0,0.7368421052631577,0.7368421052631579
31,particles_and_context,google_translate,有埋圖個樣應該都認到下嘅,有埋圖個樣應該都認得下既,有照片的话，应该还是能认出样子的,有埋图个样应该都认得下既,有照片的话，应该还是能认出样子的,0,0.35714285714285715,0.2857142857142857
32,code_mixing,google_translate,當一齊左之後通常就會話你chur得濟,當一起了之後通常就會話你chur得濟。,在一起之后，通常就会说你逼得太紧,当一起了之后通常就会话你chur得济。,在一起之后，通常就会说你逼得太紧,0,0.5714285714285714,0.5714285714285714
33,particles_and_context,google_translate,又話香港復甦好好景嘅,又说香港复苏很好景的,不是说香港复苏得很好、很景气吗？,又说香港复苏很好景的,不是说香港复苏得很好、很景气吗？,0,0.6153846153846154,0.6153846153846154
34,colloquial_or_slang,google_translate,佢一直痴屋企住公屋,他一直痴家住公屋。,他一直依赖家里，住在公屋,他一直痴家住公屋。,他一直依赖家里，住在公屋,0,0.6666666666666666,0.6666666666666666
35,colloquial_or_slang,google_translate,幾廿歲仲係搵咁少錢,几十岁还是赚这么少钱,几十岁了还是赚这么少钱,几十岁还是赚这么少钱,几十岁了还是赚这么少钱,0,0.9523809523809523,0.9523809523809523
36,informal_orthography,google_translate,比屋企人食晒你份人工?,畀屋企人食晒你份人工？,被家人花光你的工资吗？,畀屋企人食晒你份人工？,被家人花光你的工资吗？,0,0.36363636363636365,0.36363636363636365
37,informal_orthography,google_translate,人地根本唔會介意你個樣,人地根本不會介意你的樣子,别人根本不会介意你的长相,人地根本不会介意你的样子,别人根本不会介意你的长相,0,0.75,0.75
38,informal_orthography,google_translate,我都以為係新式野，原來舊時都有,我都以為是新式野，原來舊時都有,我也以为是新式东西，原来以前也有,我都以为是新式野，原来旧时都有,我也以为是新式东西，原来以前也有,0,0.6451612903225806,0.6451612903225806
39,particles_and_context,google_translate,腸粉都要非黑即白，兩隻都好食唔得既,腸粉都要非黑即白，兩隻都好吃不得的,肠粉也要非黑即白吗？两种都好吃不可以吗？,肠粉都要非黑即白，两只都好吃不得的,肠粉也要非黑即白吗？两种都好吃不可以吗？,0,0.6486486486486486,0.6486486486486487
40,informal_orthography,google_translate,宜家香港麥當勞咁貴,现在香港麦当劳这么贵,现在香港的麦当劳这么贵,现在香港麦当劳这么贵,现在香港的麦当劳这么贵,0,0.9523809523809523,0.9523809523809523
41,colloquial_or_slang,google_translate,其實出歌一啲都唔貴，派台宣傳先貴,其實出歌一點都不貴，派台宣傳才貴,其实出歌一点都不贵，去电台宣传才贵,其实出歌一点都不贵，派台宣传才贵,其实出歌一点都不贵，去电台宣传才贵,0,0.9090909090909091,0.9090909090909091
42,informal_orthography,google_translate,今集啲字幕正常返少左個歡樂,今集字幕正常返少了個歡樂,这一集的字幕变正常了，反而少了一点乐趣,今集字幕正常返少了个欢乐,这一集的字幕变正常了，反而少了一点乐趣,0,0.5161290322580646,0.5161290322580645
43,colloquial_or_slang,google_translate,佢成日同你攞家用,他老是跟你拿家用,他总是向你要生活费,他老是跟你拿家用,他总是向你要生活费,0,0.35294117647058826,0.35294117647058826
44,informal_orthography,google_translate,想早啲返屋企可以搬老婆出黎,想早点回家可以把老婆搬出来,想早点回家的时候，可以把老婆拿出来当借口,想早点回家可以把老婆搬出来,想早点回家的时候，可以把老婆拿出来当借口,0,0.7272727272727274,0.7272727272727273
45,colloquial_or_slang,google_translate,放工已經好攰只想返屋企但都要應籌佢地,放工已經很累了，只想回家，但都要應籌他地,下班后已经很累，只想回家，但还是要应酬他们,放工已经很累了，只想回家，但都要应筹他地,下班后已经很累，只想回家，但还是要应酬他们,0,0.6829268292682926,0.6829268292682927
46,colloquial_or_slang,google_translate,拎完市民錢，即刻拉返個市民,拿完市民钱，马上拉回一个市民,拿完市民的钱，立刻又把那个市民抓回去,拿完市民钱，马上拉回一个市民,拿完市民的钱，立刻又把那个市民抓回去,0,0.6250000000000001,0.5625
47,particles_and_context,google_translate,原來無咗半年起訴期限，而家先留意到,原来没有半年起诉期限，现在才注意到,原来没有了半年的起诉期限，现在才注意到,原来没有半年起诉期限，现在才注意到,原来没有了半年的起诉期限，现在才注意到,0,0.9444444444444444,0.9444444444444444
48,colloquial_or_slang,google_translate,無咩客都要你搭枱,没有什么客人都要你搭桌,没什么客人也会要求你拼桌,没有什么客人都要你搭桌,没什么客人也会要求你拼桌,0,0.6956521739130435,0.6956521739130435
49,colloquial_or_slang,google_translate,最大問題一定係租金，見你生意好就加你租,最大問題一定是租金，見你生意好就加你租金,最大的问题一定是租金，看到你生意好就给你增加租金,最大问题一定是租金，见你生意好就加你租金,最大的问题一定是租金，看到你生意好就给你增加租金,0,0.8636363636363635,0.8181818181818182
50,colloquial_or_slang,google_translate,仲要結咗婚冇咁易走得甩,仲要結咗婚冇咁易走得甩,而且结了婚，没那么容易脱身,仲要结咗婚冇咁易走得甩,而且结了婚，没那么容易脱身,0,0.24999999999999994,0.25
51,code_mixing,google_translate,講真，幾好睇幾Fun,说真的，挺好看挺Fun,说真的，很好看很有趣,说真的，挺好看挺Fun,说真的，很好看很有趣,0,0.5714285714285713,0.5714285714285714
52,colloquial_or_slang,google_translate,公司女同事明明無名指戴左隻戒指都可以話係阿媽送,公司女同事明明无名指戴了戒指也可以说是妈妈送的,公司的女同事明明无名指带了个戒指都可以说是妈妈送的,公司女同事明明无名指戴了戒指也可以说是妈妈送的,公司的女同事明明无名指带了个戒指都可以说是妈妈送的,0,0.8749999999999999,0.875
53,particles_and_context,google_translate,唔好話條仔玩你感情喎,不要说男朋友玩你感情喔,不要到时说那个男生玩弄你感情喔,不要说男朋友玩你感情喔,不要到时说那个男生玩弄你感情喔,0,0.6923076923076923,0.6923076923076923
54,particles_and_context,google_translate,既然沒有表態就唔好幻想人地對你有意思啦,既然没表态就别幻想人家对你有意思吧,既然没有表态就不要幻想别人对你有意思啦,既然没表态就别幻想人家对你有意思吧,既然没有表态就不要幻想别人对你有意思啦,0,0.8333333333333333,0.7777777777777778
55,code_mixing,google_translate,Sor9ry，個人魅力我噴飯,Sor9ry，个人魅力我喷饭,不好意思，所谓个人魅力真是让我笑喷了,Sor9ry，个人魅力我喷饭,不好意思，所谓个人魅力真是让我笑喷了,0,0.43750000000000006,0.4375
56,particles_and_context,google_translate,我D朋友都好正常唔會咁架,"我的朋友都很正常,不會這樣的",我的朋友都好正常不会这样的啦,"我的朋友都很正常,不会这样的",我的朋友都好正常不会这样的啦,0,0.8571428571428571,0.8571428571428571
57,colloquial_or_slang,google_translate,唱歌果個真係好掂,唱歌的真好,唱歌那位真的好厉害,唱歌的真好,唱歌那位真的好厉害,0,0.7142857142857143,0.5714285714285714
58,particles_and_context,google_translate,最少都有一萬，完全冇難度囉,最少也有一万，完全没难度啰,最少都有一万，完全没有难度咯,最少也有一万，完全没难度啰,最少都有一万，完全没有难度咯,0,0.8148148148148148,0.8148148148148148
59,informal_orthography,google_translate,希望黎緊可以多d講吓如何教導中學生理財,希望嚟緊可以多講下點樣教導中學生財,希望未来可以多多讲下怎么教中学生理财,希望嚟紧可以多讲下点样教导中学生财,希望未来可以多多讲下怎么教中学生理财,0,0.6857142857142857,0.6857142857142857
60,particles_and_context,google_translate,輕輕鬆鬆傾下計都幾好喎,轻轻松松聊聊天也挺好的喔,轻轻松松地聊聊天也很好啊,轻轻松松聊聊天也挺好的喔,轻轻松松地聊聊天也很好啊,0,0.75,0.75
61,informal_orthography,google_translate,人高又風趣果然係易比人接受D,人高又風趣果然是容易被人接受D,个子高又风趣，果然比较容易被人接受一点,人高又风趣果然是容易被人接受D,个子高又风趣，果然比较容易被人接受一点,0,0.7058823529411765,0.7058823529411765
62,particles_and_context,google_translate,媽媽既反應已經算係好俾面㗎啦,媽媽的反應已經算是好畀面啦,妈妈的反应已经算很给面子的啦,妈妈的反应已经算是好畀面啦,妈妈的反应已经算很给面子的啦,0,0.7407407407407408,0.7407407407407407
63,colloquial_or_slang,google_translate,愈睇愈肚餓,愈看愈饿,越看越饿,愈看愈饿,越看越饿,0,0.5,0.5
64,informal_orthography,google_translate,但晚上不可以睇e條影片，好肚餓,但晚上不能看e条影片，好饿,但是晚上不可以看这条影片，好饿,但晚上不能看e条影片，好饿,但是晚上不可以看这条影片，好饿,0,0.7857142857142856,0.7857142857142857
65,informal_orthography,google_translate,至少你哋令佢哋成個體驗開心咗,至少你们让他们整个体验开心了,至少你们让他们的整个体验变开心了啊,至少你们让他们整个体验开心了,至少你们让他们的整个体验变开心了啊,0,0.9032258064516129,0.9032258064516129
66,particles_and_context,google_translate,簡直抵到爛啦，車費都唔止,简直抵到烂啦，车费都不止,简直超划算，车费都不止这个价了,简直抵到烂啦，车费都不止,简直超划算，车费都不止这个价了,0,0.5925925925925926,0.5925925925925926
67,informal_orthography,google_translate,"冇 la la 碌到你哋呢條片, 你哋好好笑呀","冇啦啦碌到你地呢條片,你地好好笑呀",莫名其妙刷到你们的这条影片，你们好好笑啊,"冇啦啦碌到你地呢条片,你地好好笑呀",莫名其妙刷到你们的这条影片，你们好好笑啊,0,0.4324324324324324,0.43243243243243246
68,informal_orthography,google_translate,呢排心情不係幾好,最近心情不太好,这阵子心情不是很好,最近心情不太好,这阵子心情不是很好,0,0.5,0.5
69,colloquial_or_slang,google_translate,最憎就係女仔收兵,最憎就是女仔收兵,最讨厌的就是女生拿别人当备胎,最憎就是女仔收兵,最讨厌的就是女生拿别人当备胎,0,0.36363636363636365,0.36363636363636365
70,code_mixing,google_translate,估唔到佢國語ok wor,估唔到佢國語ok wor,没想到他的国语还可以喔,估唔到佢国语okwor,没想到他的国语还可以喔,0,0.2727272727272727,0.2727272727272727
